,Price,City,Date,Brand,Model,Storage,Stat
0,2900,Meknès,25 Avril,iphone,iphone 8,32,Bon état
1,2349,Rabat,25 Avril,xiaomi,xiaomi ,32,Bon état
2,1990,Rabat,25 Avril,xiaomi,xiaomi ,32,Bon état
3,7500,Meknès,25 Avril,samsung,samsung galaxy z flip,8,Neuf
4,2600,Casablanca,25 Avril,samsung,samsung s20,8,Neuf
5,6000,Safi,25 Avril,iphone,iphone 11,8,Bon état
6,900,Meknès,25 Avril,oppo,oppo a5,32,Neuf
7,13000,Mohammedia,25 Avril,iphone,iphone 13 pro max,256,Neuf
8,1500,Casablanca,25 Avril,samsung,samsung a21s,8,Neuf
9,8000,Marrakech,25 Avril,iphone,iphone 12 pro,8,Bon état
10,2200,Casablanca,25 Avril,iphone,iphone se,8,Neuf
11,4700,Mohammedia,25 Avril,iphone,iphone xs,32,Bon état
12,8150,Fès,25 Avril,iphone,iphone 13,8,Bon état
13,1000,Agadir,25 Avril,huawei,huawei Y7 Prime,32,Bon état
14,1000,Agadir,25 Avril,huawei,huawei Y7 Prime,32,Bon état
15,6990,Casablanca,25 Avril,samsung,samsung galaxy fold,256,Bon état
16,2500,Casablanca,25 Avril,huawei,huawei p,8,Bon état
17,6000,Casablanca,25 Avril,iphone,iphone 12,64,Bon état
18,5000,Casablanca,25 Avril,iphone,iphone xs max,32,Bon état
19,5400,Agadir,25 Avril,iphone,iphone 11 pro,64,Bon état
20,14200,Kénitra,25 Avril,iphone,iphone 13 pro max,256,Neuf
21,4600,Casablanca,25 Avril,iphone,iphone xs max,512,Bon état
22,9000,Casablanca,25 Avril,iphone,iphone 12 pro max,256,Neuf
23,1000,Casablanca,25 Avril,iphone,iphone 7,32,Bon état
24,3500,Casablanca,25 Avril,iphone,iphone x,64,Bon état
25,8700,Casablanca,25 Avril,iphone,iphone 13 mini,256,Neuf
26,7600,Oujda,25 Avril,iphone,iphone 12,8,Bon état
27,8500,Casablanca,25 Avril,iphone,iphone 12,8,Neuf
28,650,Marrakech,25 Avril,iphone,iphone 6s,64,Bon état
29,2000,Rabat,25 Avril,iphone,iphone 8,32,Bon état
30,7000,Rabat,25 Avril,iphone,iphone 11 pro max,256,Bon état
31,1699,Marrakech,25 Avril,huawei,huawei p,8,Bon état
32,12500,Rabat,25 Avril,iphone,iphone 13 pro,256,Neuf
33,7200,Casablanca,25 Avril,iphone,iphone 12 pro,8,Bon état
34,8399,Salé,25 Avril,iphone,iphone 13,256,Neuf
35,4500,Salé,25 Avril,samsung,samsung s20,8,Bon état
36,2000,Khouribga,25 Avril,Redmi,Redmi Note 8,8,Bon état
37,6690,Casablanca,25 Avril,iphone,iphone 11 pro max,512,Bon état
38,1600,El Jadida,25 Avril,iphone,iphone 7,32,Bon état
39,1600,El Jadida,25 Avril,huawei,huawei p,8,Neuf
40,850,Rabat,25 Avril,huawei,huawei p,32,Neuf
41,6200,Casablanca,25 Avril,iphone,iphone 13 mini,32,Bon état
42,6100,Mohammedia,25 Avril,iphone,iphone 11,64,Neuf
43,400,Mohammedia,25 Avril,HTC,HTC,16,Bon état
44,7300,Rabat,25 Avril,iphone,iphone 12,8,Bon état
45,2300,Casablanca,25 Avril,xiaomi,xiaomi ,32,Neuf
46,6300,Casablanca,25 Avril,iphone,iphone 11 pro max,64,Bon état
47,4700,Marrakech,25 Avril,iphone,iphone xs,256,Bon état
48,7000,Agadir,25 Avril,samsung,samsung note 2,256,Neuf
49,5500,Fès,25 Avril,iphone,iphone 11 pro,32,Bon état
50,5000,Casablanca,25 Avril,iphone,iphone 11,8,Bon état
51,1700,Casablanca,25 Avril,samsung,samsung a5,8,Bon état
52,5000,Casablanca,25 Avril,samsung,samsung s20,8,Bon état
53,8700,Casablanca,25 Avril,iphone,iphone 12 pro max,256,Neuf
54,4300,Casablanca,25 Avril,iphone,iphone 11,64,Bon état
55,3900,Casablanca,25 Avril,samsung,samsung a5,256,Neuf
56,2800,Kénitra,25 Avril,iphone,iphone x,64,Bon état
57,4499,Rabat,25 Avril,iphone,iphone x,64,Bon état
58,6800,Meknès,25 Avril,samsung,samsung galaxy z flip,256,Neuf
59,8600,Rabat,25 Avril,iphone,iphone 12 pro max,8,Neuf
60,8600,Rabat,25 Avril,iphone,iphone 13,8,Neuf
61,3500,Casablanca,25 Avril,iphone,iphone xs max,256,Neuf
62,12800,Agadir,25 Avril,iphone,iphone 13 pro max,8,Neuf
63,10500,Agadir,25 Avril,iphone,iphone 12 pro max,256,Neuf
64,10500,Agadir,25 Avril,iphone,iphone 12 pro max,256,Neuf
65,1248,Casablanca,25 Avril,samsung,samsung galaxy a02,32,Neuf
66,1800,Rabat,25 Avril,iphone,iphone x,64,Bon état
67,4100,Casablanca,25 Avril,samsung,samsung galaxy a5,8,Neuf
68,4000,Meknès,25 Avril,iphone,iphone xs max,256,Bon état
69,1700,Casablanca,25 Avril,iphone,iphone 13 pro max,32,Neuf
70,11999,Casablanca,25 Avril,iphone,iphone 13 pro,8,Neuf
71,1300,Salé,25 Avril,iphone,iphone 7,32,Bon état
72,7500,Agadir,25 Avril,iphone,iphone 12 pro,32,Bon état
73,5799,Casablanca,25 Avril,iphone,iphone 12,64,Bon état
74,3499,Casablanca,25 Avril,iphone,iphone xs max,64,Bon état
75,2799,Casablanca,25 Avril,iphone,iphone xs,64,Bon état
76,1300,Rabat,25 Avril,iphone,iphone 7,32,Neuf
77,3300,El Jadida,25 Avril,iphone,iphone x,32,Bon état
78,2100,Casablanca,25 Avril,iphone,iphone 8,64,Bon état
79,8600,Casablanca,25 Avril,iphone,iphone 12,256,Neuf
80,800,Marrakech,25 Avril,huawei,huawei Y5P,32,Bon état
81,5900,Marrakech,25 Avril,iphone,iphone 12,64,Bon état
82,4500,Marrakech,25 Avril,iphone,iphone 11,64,Neuf
83,3600,El Jadida,25 Avril,iphone,iphone xs max,32,Bon état
84,1100,Casablanca,25 Avril,iphone,iphone 7,32,Bon état
85,3500,Safi,25 Avril,iphone,iphone xs,256,Bon état
86,15000,Rabat,25 Avril,iphone,iphone 13 pro max,256,Neuf
87,1850,Tanger,25 Avril,realme,realme 6,8,Neuf
88,2750,Oujda,25 Avril,iphone,iphone xs,32,Bon état
89,2950,Rabat,25 Avril,samsung,samsung a5,8,Bon état
90,1800,Casablanca,25 Avril,oppo,oppo a7,8,Bon état
91,4400,Casablanca,25 Avril,iphone,iphone 11,32,Bon état
92,2600,Kénitra,25 Avril,iphone,iphone x,64,Bon état
93,600,El Jadida,25 Avril,iphone,iphone 5,32,Bon état
94,1000,Meknès,25 Avril,samsung,samsung galaxy a3,64,Neuf
95,8100,Casablanca,25 Avril,xiaomi,xiaomi ,32,Bon état
96,2999,Casablanca,25 Avril,iphone,iphone x,64,Bon état
97,2999,Casablanca,25 Avril,iphone,iphone x,64,Bon état
98,2999,Casablanca,25 Avril,iphone,iphone x,64,Bon état
99,2999,Casablanca,25 Avril,iphone,iphone x,64,Bon état
100,5000,Marrakech,25 Avril,iphone,iphone xs max,32,Bon état
101,4200,Casablanca,25 Avril,iphone,iphone 11,32,Bon état
102,4299,Casablanca,25 Avril,iphone,iphone 11,64,Bon état
103,5500,Casablanca,25 Avril,iphone,iphone 11 pro,64,Bon état
104,2000,Casablanca,25 Avril,samsung,samsung a3,8,Neuf
105,13500,Tanger,25 Avril,iphone,iphone 13 pro max,256,Neuf
106,1300,El Jadida,25 Avril,Redmi,Redmi Note 8,32,Bon état
107,3600,Casablanca,25 Avril,iphone,iphone 11,64,Bon état
108,1200,El Jadida,25 Avril,oppo,oppo a5,32,Bon état
109,1300,Casablanca,25 Avril,iphone,iphone 8,64,Bon état
110,1400,Casablanca,25 Avril,iphone,iphone 7,32,Bon état
111,10000,Casablanca,25 Avril,iphone,iphone 13,8,Bon état
112,1400,Marrakech,25 Avril,iphone,iphone 7,8,Bon état
113,16000,Rabat,25 Avril,iphone,iphone 13 pro max,8,Neuf
114,3000,Casablanca,25 Avril,iphone,iphone x,32,Bon état
115,16000,Agadir,25 Avril,iphone,iphone 13 pro max,8,Neuf
116,1300,Casablanca,25 Avril,samsung,samsung a21s,64,Neuf
117,1600,Marrakech,25 Avril,iphone,iphone 7,8,Bon état
118,900,Casablanca,25 Avril,Redmi,Redmi Note 8,64,Bon état
119,8000,Rabat,25 Avril,iphone,iphone 12 pro,8,Bon état
120,2600,Casablanca,25 Avril,samsung,samsung galaxy a3,8,Neuf
121,6800,Casablanca,25 Avril,iphone,iphone 12,32,Bon état
122,2800,Fès,25 Avril,samsung,samsung galaxy a71,8,Bon état
123,10700,Rabat,25 Avril,iphone,iphone 13,32,Bon état
124,3400,Marrakech,25 Avril,iphone,iphone x,8,Bon état
125,3750,Tanger,25 Avril,iphone,iphone xs,64,Bon état
126,1850,Kénitra,25 Avril,huawei,huawei p,8,Neuf
127,5500,Casablanca,25 Avril,iphone,iphone 11 pro,32,Bon état
128,1750,Kénitra,25 Avril,samsung,samsung a5,8,Neuf
129,6400,Tanger,25 Avril,iphone,iphone 11 pro max,64,Bon état
130,3300,Casablanca,25 Avril,iphone,iphone x,32,Bon état
131,2100,Casablanca,25 Avril,samsung,samsung a71,32,Bon état
132,1400,Casablanca,25 Avril,huawei,huawei p,32,Bon état
133,3900,Casablanca,25 Avril,huawei,huawei p,32,Bon état
134,700,Casablanca,25 Avril,huawei,huawei p,32,Bon état
135,3800,Casablanca,25 Avril,samsung,samsung z flip,32,Bon état
136,3000,Casablanca,25 Avril,huawei,huawei p,32,Bon état
137,8450,Kénitra,25 Avril,iphone,iphone 12 pro,8,Bon état
138,3000,Casablanca,25 Avril,huawei,huawei p,32,Bon état
139,8450,Kénitra,25 Avril,iphone,iphone 12 pro,8,Bon état
140,3000,Tanger,25 Avril,xiaomi,xiaomi ,8,Neuf
141,12300,Casablanca,25 Avril,iphone,iphone 13,32,Bon état
142,8300,Casablanca,25 Avril,iphone,iphone 13,512,Neuf
143,2400,Rabat,25 Avril,iphone,iphone xs,256,Bon état
144,2200,Rabat,25 Avril,iphone,iphone se,8,Bon état
145,6400,Fès,25 Avril,iphone,iphone 11 pro max,64,Bon état
146,8800,Casablanca,25 Avril,iphone,iphone 12 pro max,8,Neuf
147,1800,Rabat,25 Avril,samsung,samsung note 8,64,Bon état
148,5500,Fès,25 Avril,iphone,iphone 12,64,Bon état
149,5000,Rabat,25 Avril,iphone,iphone xs max,512,Bon état
150,700,Rabat,25 Avril,iphone,iphone 7,32,Bon état
151,3500,Casablanca,25 Avril,iphone,iphone xs max,64,Bon état
152,4200,Rabat,25 Avril,iphone,iphone 11,64,Bon état
153,1550,Meknès,25 Avril,iphone,iphone 8,32,Bon état
154,650,Casablanca,25 Avril,oppo,oppo a1,32,Bon état
155,3300,Casablanca,25 Avril,huawei,huawei p,32,Bon état
156,3500,Rabat,25 Avril,iphone,iphone 8,32,Bon état
157,2300,Casablanca,25 Avril,iphone,iphone se,64,Bon état
158,2300,Casablanca,25 Avril,xiaomi,xiaomi ,8,Bon état
159,2400,Kénitra,25 Avril,xiaomi,xiaomi ,8,Bon état
160,9000,Casablanca,25 Avril,iphone,iphone 12 pro max,256,Neuf
161,3100,Rabat,25 Avril,iphone,iphone x,64,Neuf
162,4400,Casablanca,25 Avril,iphone,iphone 11,64,Bon état
163,3200,Casablanca,25 Avril,iphone,iphone x,8,Bon état
164,4350,Casablanca,25 Avril,iphone,iphone 11,64,Bon état
165,5200,Casablanca,25 Avril,iphone,iphone 11,64,Bon état
166,5800,Rabat,25 Avril,iphone,iphone 11 pro max,64,Bon état
167,8900,Tétouan,25 Avril,iphone,iphone 12 pro max,32,Bon état
168,8300,Agadir,25 Avril,iphone,iphone 12 pro,256,Bon état
169,2200,Rabat,25 Avril,oppo,oppo reno,8,Bon état
170,1200,Casablanca,25 Avril,iphone,iphone 7,32,Bon état
171,1000,Casablanca,25 Avril,iphone,iphone 7,8,Bon état
172,6000,El Jadida,25 Avril,iphone,iphone 12,64,Neuf
173,2800,Marrakech,25 Avril,iphone,iphone x,32,Bon état
174,3300,Casablanca,25 Avril,iphone,iphone x,64,Bon état
175,2500,Casablanca,25 Avril,iphone,iphone x,32,Bon état
176,7300,Casablanca,25 Avril,iphone,iphone 12,8,Neuf
177,2000,Marrakech,25 Avril,iphone,iphone 8,64,Neuf
178,3000,Casablanca,25 Avril,iphone,iphone 11,512,Neuf
179,3500,Casablanca,25 Avril,oppo,oppo reno,8,Neuf
180,1800,Casablanca,25 Avril,huawei,huawei Y8p,8,Bon état
181,5400,Fès,25 Avril,iphone,iphone 12 mini,64,Bon état
182,1500,Casablanca,25 Avril,iphone,iphone 7,32,Bon état
183,4500,Marrakech,25 Avril,iphone,iphone 11,64,Bon état
184,5500,Casablanca,25 Avril,iphone,iphone 12,8,Bon état
185,4700,Casablanca,25 Avril,iphone,iphone xs,256,Bon état
